service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20241217,20241220
2,1,1,1,1,1,1,1,20241223,20241224
3,1,1,1,1,1,1,1,20250105,20250106
4,1,1,1,1,1,1,1,20250102,20250131
5,1,1,1,1,1,1,1,20241225,20241226
6,0,0,0,0,0,1,0,20241221,20241228
7,0,0,0,0,0,1,0,20250104,20250125
8,0,1,1,1,1,0,0,20241217,20250102
9,1,1,1,1,1,1,1,20241222,20241222
10,1,1,1,1,1,1,1,20241229,20241229
11,1,1,1,1,1,1,1,20241225,20241226
12,1,1,1,1,1,1,1,20241225,20241226
13,0,0,0,0,0,1,0,20241221,20250125
